Model,R²,MAPE (%),RMSE ($),MAE ($),Time (s)
Ridge,0.8765335931233107,6.6600655010013,263.9534398049115,199.69186981495818,0.002008
BayesianRidge,0.8761583421560022,6.671882372669673,264.3542518177546,200.03481376162156,0.013506
Lasso,0.8759056930197205,6.6611057124996345,264.6237687367574,199.91603676624777,0.0
ElasticNet,0.8307955363103442,7.994253149111478,309.0002488433453,238.24625903362727,0.006146
LightGBM,-0.9448038538165169,24.493492600964867,1047.5887466343684,762.4057416677663,2.047057
XGBoost,-0.949067306448599,24.522440514031054,1048.7363944700776,762.8817408226657,1.557218
RandomForest,-0.9849820450655129,25.295483606080495,1058.3546266419992,781.1797884698918,0.417682
GradientBoosting,-1.0380174501488328,25.353396867662475,1072.4001607925186,786.1163644860296,1.578636
SVR,-1.648093645582596,28.57699091783233,1222.4175909000448,889.1887093338298,0.608724
