Method,R²,MAPE (%),RMSE ($),MAE ($),Time (s),Improvement
Polynomial Features,0.9879437077758505,2.1481089938893856,82.48211798877347,56.99538954432165,0.010596,11.99
Feature Engineering,0.9072620323943941,6.220346489357734,228.76085351897189,180.44296695005423,0.019174,2.85
Baseline Ridge,0.8821386993465073,7.0284845353664664,257.8923953654661,204.43766475628902,0.00509,0.0
Tuned Ridge,0.8805085969662584,7.065768288335146,259.66968527037363,205.68992859117336,2.280389,-0.18
TS Cross-Validation,0.8805085969662584,7.065768288335146,259.66968527037363,205.68992859117336,0.004659,-0.18
Stacking Ensemble,0.8641478258241528,7.469124594709483,276.8765774786299,218.51141176575842,0.079922,-2.04
