date,buy_price,sell_price
2009-07-22 00:00:00,21060000,21120000
2009-07-23 00:00:00,21140000,21190000
2009-07-24 00:00:00,21090000,21140000
2009-07-25 00:00:00,21090000,21140000
2009-07-26 00:00:00,21090000,21140000
2009-07-27 00:00:00,21130000,21190000
2009-07-28 00:00:00,21130000,21190000
2009-07-29 00:00:00,21130000,21190000
2009-07-30 00:00:00,21130000,21190000
2009-07-31 00:00:00,21130000,21190000
2009-08-01 00:00:00,21130000,21190000
2009-08-02 00:00:00,21130000,21190000
2009-08-03 00:00:00,21130000,21190000
2009-08-04 00:00:00,21130000,21190000
2009-08-05 00:00:00,21130000,21190000
2009-08-06 00:00:00,21130000,21190000
2009-08-07 00:00:00,21130000,21190000
2009-08-08 00:00:00,21130000,21190000
2009-08-09 00:00:00,21130000,21190000
2009-08-10 00:00:00,21130000,21190000
2009-08-11 00:00:00,21130000,21190000
2009-08-12 00:00:00,21130000,21190000
2009-08-13 00:00:00,21130000,21190000
2009-08-14 00:00:00,21130000,21190000
2009-08-15 00:00:00,21130000,21190000
2009-08-16 00:00:00,21130000,21190000
2009-08-17 00:00:00,21130000,21190000
2009-08-18 00:00:00,21130000,21190000
2009-08-19 00:00:00,21130000,21190000
2009-08-20 00:00:00,21130000,21190000
2009-08-21 00:00:00,21130000,21190000
2009-08-22 00:00:00,21130000,21190000
2009-08-23 00:00:00,21130000,21190000
2009-08-24 00:00:00,21130000,21190000
2009-08-25 00:00:00,21130000,21190000
2009-08-26 00:00:00,21130000,21190000
2009-08-27 00:00:00,21130000,21190000
2009-08-28 00:00:00,21130000,21190000
2009-08-29 00:00:00,21130000,21190000
2009-08-30 00:00:00,21130000,21190000
2009-08-31 00:00:00,21130000,21190000
2009-09-01 00:00:00,21130000,21190000
2009-09-02 00:00:00,21130000,21190000
2009-09-03 00:00:00,21130000,21190000
2009-09-04 00:00:00,21130000,21190000
2009-09-05 00:00:00,21130000,21190000
2009-09-06 00:00:00,21130000,21190000
2009-09-07 00:00:00,21130000,21190000
2009-09-08 00:00:00,21130000,21190000
2009-09-09 00:00:00,21130000,21190000
2009-09-10 00:00:00,21130000,21190000
2009-09-11 00:00:00,21130000,21190000
2009-09-12 00:00:00,21130000,21190000
2009-09-13 00:00:00,21130000,21190000
2009-09-14 00:00:00,21130000,21190000
2009-09-15 00:00:00,21130000,21190000
2009-09-16 00:00:00,21130000,21190000
2009-09-17 00:00:00,21130000,21190000
2009-09-18 00:00:00,21130000,21190000
2009-09-19 00:00:00,21130000,21190000
2009-09-20 00:00:00,21130000,21190000
2009-09-21 00:00:00,22090000,22140000
2009-09-22 00:00:00,22220000,22280000
2009-09-23 00:00:00,22270000,22320000
2009-09-24 00:00:00,22230000,22280000
2009-09-25 00:00:00,22070000,22130000
2009-09-26 00:00:00,22040000,22090000
2009-09-27 00:00:00,22040000,22090000
2009-09-28 00:00:00,22070000,22120000
2009-09-29 00:00:00,22090000,22140000
2009-09-30 00:00:00,22190000,22240000
2009-10-01 00:00:00,22250000,22300000
2009-10-02 00:00:00,22180000,22230000
2009-10-03 00:00:00,22220000,22270000
2009-10-04 00:00:00,22220000,22270000
2009-10-05 00:00:00,22270000,22320000
2009-10-06 00:00:00,22500000,22560000
2009-10-07 00:00:00,22920000,22990000
2009-10-08 00:00:00,23130000,23190000
2009-10-09 00:00:00,23040000,23090000
2009-10-10 00:00:00,23070000,23120000
2009-10-11 00:00:00,23070000,23120000
2009-10-12 00:00:00,23150000,23200000
2009-10-13 00:00:00,23490000,23550000
2009-10-14 00:00:00,23760000,23840000
2009-10-15 00:00:00,23570000,23640000
2009-10-16 00:00:00,23470000,23520000
2009-10-17 00:00:00,23570000,23620000
2009-10-18 00:00:00,23570000,23620000
2009-10-19 00:00:00,23650000,23700000
2009-10-20 00:00:00,23820000,23890000
2009-10-21 00:00:00,23740000,23790000
2009-10-22 00:00:00,23800000,23850000
2009-10-23 00:00:00,23890000,23940000
2009-10-24 00:00:00,23890000,23940000
2009-10-25 00:00:00,23890000,23940000
2009-10-26 00:00:00,23890000,23950000
2009-10-27 00:00:00,23800000,23860000
2009-10-28 00:00:00,23790000,23850000
2009-10-29 00:00:00,23720000,23780000
2009-10-30 00:00:00,23800000,23850000
2009-10-31 00:00:00,23820000,23880000
2009-11-01 00:00:00,23820000,23880000
2009-11-02 00:00:00,23890000,23950000
2009-11-03 00:00:00,24000000,24060000
2009-11-04 00:00:00,24650000,24750000
2009-11-05 00:00:00,24670000,24750000
2009-11-06 00:00:00,25260000,25360000
2009-11-07 00:00:00,25300000,25400000
2009-11-08 00:00:00,25300000,25400000
2009-11-09 00:00:00,26300000,26500000
2009-11-10 00:00:00,26550000,26750000
2009-11-11 00:00:00,26800000,27500000
2009-11-12 00:00:00,25500000,26000000
2009-11-13 00:00:00,25800000,26300000
2009-11-14 00:00:00,26300000,26800000
2009-11-15 00:00:00,26300000,26800000
2009-11-16 00:00:00,26500000,26800000
2009-11-17 00:00:00,26700000,26900000
2009-11-18 00:00:00,26970000,27170000
2009-11-19 00:00:00,26900000,27100000
2009-11-20 00:00:00,27260000,27360000
2009-11-21 00:00:00,27480000,27580000
2009-11-22 00:00:00,27480000,27580000
2009-11-23 00:00:00,28350000,28450000
2009-11-24 00:00:00,28470000,28570000
2009-11-25 00:00:00,28520000,28600000
2009-11-26 00:00:00,28600000,28680000
2009-11-27 00:00:00,27900000,28200000
2009-11-28 00:00:00,28150000,28250000
2009-11-29 00:00:00,28150000,28250000
2009-11-30 00:00:00,27900000,28000000
2009-12-01 00:00:00,28350000,28420000
2009-12-02 00:00:00,28650000,28700000
2009-12-03 00:00:00,28550000,28600000
2009-12-04 00:00:00,28490000,28530000
2009-12-05 00:00:00,28000000,28150000
2009-12-06 00:00:00,28000000,28150000
2009-12-07 00:00:00,27850000,27900000
2009-12-08 00:00:00,28000000,28060000
2009-12-09 00:00:00,27630000,27680000
2009-12-10 00:00:00,27320000,27370000
2009-12-11 00:00:00,27200000,27300000
2009-12-12 00:00:00,26750000,26900000
2009-12-13 00:00:00,26750000,26900000
2009-12-14 00:00:00,26840000,26920000
2009-12-15 00:00:00,26940000,27000000
2009-12-16 00:00:00,27050000,27130000
2009-12-17 00:00:00,27160000,27220000
2009-12-18 00:00:00,26800000,26860000
2009-12-19 00:00:00,27000000,27100000
2009-12-20 00:00:00,27000000,27100000
2009-12-21 00:00:00,26950000,27020000
2009-12-22 00:00:00,26610000,26680000
2009-12-23 00:00:00,26150000,26230000
2009-12-24 00:00:00,26430000,26500000
2009-12-25 00:00:00,26480000,26560000
2009-12-26 00:00:00,26550000,26600000
2009-12-27 00:00:00,26550000,26600000
2009-12-28 00:00:00,26800000,26880000
2009-12-29 00:00:00,26600000,26650000
2009-12-30 00:00:00,26410000,26480000
2009-12-31 00:00:00,26540000,26740000
2010-01-01 00:00:00,26540000,26740000
2010-01-02 00:00:00,26620000,26700000
2010-01-03 00:00:00,26620000,26700000
2010-01-04 00:00:00,26690000,26760000
2010-01-05 00:00:00,26880000,26960000
2010-01-06 00:00:00,26810000,26880000
2010-01-07 00:00:00,26910000,26980000
2010-01-08 00:00:00,26760000,26830000
2010-01-09 00:00:00,26850000,26930000
2010-01-10 00:00:00,26850000,26930000
2010-01-11 00:00:00,27120000,27180000
2010-01-12 00:00:00,27140000,27190000
2010-01-13 00:00:00,26870000,26930000
2010-01-14 00:00:00,26870000,26930000
2010-01-15 00:00:00,26820000,26880000
2010-01-16 00:00:00,26780000,26840000
2010-01-17 00:00:00,26780000,26840000
2010-01-18 00:00:00,26800000,26860000
2010-01-19 00:00:00,26810000,26870000
2010-01-20 00:00:00,26760000,26820000
2010-01-21 00:00:00,26540000,26600000
2010-01-22 00:00:00,26330000,26380000
2010-01-23 00:00:00,26360000,26420000
2010-01-24 00:00:00,26360000,26420000
2010-01-25 00:00:00,26450000,26500000
2010-01-26 00:00:00,26400000,26450000
2010-01-27 00:00:00,26390000,26440000
2010-01-28 00:00:00,26440000,26500000
2010-01-29 00:00:00,26380000,26430000
2010-01-30 00:00:00,26370000,26420000
2010-01-31 00:00:00,26370000,26420000
2010-02-01 00:00:00,26320000,26380000
2010-02-02 00:00:00,26390000,26450000
2010-02-03 00:00:00,26480000,26540000
2010-02-04 00:00:00,26370000,26430000
2010-02-05 00:00:00,24900000,25000000
2010-02-06 00:00:00,25200000,25300000
2010-02-07 00:00:00,25200000,25300000
2010-02-08 00:00:00,25080000,25180000
2010-02-09 00:00:00,25160000,25260000
2010-02-10 00:00:00,25660000,25760000
2010-02-11 00:00:00,26150000,26250000
2010-02-12 00:00:00,26320000,26420000
2010-02-13 00:00:00,26320000,26420000
2010-02-14 00:00:00,26320000,26420000
2010-02-15 00:00:00,26320000,26420000
2010-02-16 00:00:00,26320000,26420000
2010-02-17 00:00:00,26320000,26420000
2010-02-18 00:00:00,26550000,26650000
2010-02-19 00:00:00,26500000,26600000
2010-02-20 00:00:00,26650000,26750000
2010-02-21 00:00:00,26650000,26750000
2010-02-22 00:00:00,26600000,26680000
2010-02-23 00:00:00,26550000,26620000
2010-02-24 00:00:00,26380000,26450000
2010-02-25 00:00:00,26260000,26320000
2010-02-26 00:00:00,26410000,26470000
2010-02-27 00:00:00,26540000,26600000
2010-02-28 00:00:00,26540000,26600000
2010-03-01 00:00:00,26550000,26610000
2010-03-02 00:00:00,26520000,26580000
2010-03-03 00:00:00,26640000,26690000
2010-03-04 00:00:00,26700000,26760000
2010-03-05 00:00:00,26720000,26780000
2010-03-06 00:00:00,26720000,26780000
2010-03-07 00:00:00,26720000,26780000
2010-03-08 00:00:00,26770000,26820000
2010-03-09 00:00:00,26640000,26690000
2010-03-10 00:00:00,26620000,26670000
2010-03-11 00:00:00,26370000,26430000
2010-03-12 00:00:00,26500000,26570000
2010-03-13 00:00:00,26370000,26450000
2010-03-14 00:00:00,26370000,26450000
2010-03-15 00:00:00,26390000,26450000
2010-03-16 00:00:00,26430000,26490000
2010-03-17 00:00:00,26570000,26630000
2010-03-18 00:00:00,26450000,26510000
2010-03-19 00:00:00,26460000,26510000
2010-03-20 00:00:00,26340000,26400000
2010-03-21 00:00:00,26340000,26400000
2010-03-22 00:00:00,26340000,26400000
2010-03-23 00:00:00,26260000,26320000
2010-03-24 00:00:00,26050000,26100000
2010-03-25 00:00:00,25900000,25960000
2010-03-26 00:00:00,26100000,26170000
2010-03-27 00:00:00,26240000,26300000
2010-03-28 00:00:00,26240000,26300000
2010-03-29 00:00:00,26200000,26250000
2010-03-30 00:00:00,26190000,26240000
2010-03-31 00:00:00,26080000,26130000
2010-04-01 00:00:00,26070000,26130000
2010-04-02 00:00:00,26100000,26150000
2010-04-03 00:00:00,26100000,26160000
2010-04-04 00:00:00,26100000,26160000
2010-04-05 00:00:00,26120000,26170000
2010-04-06 00:00:00,26030000,26090000
2010-04-07 00:00:00,26090000,26150000
2010-04-08 00:00:00,26300000,26360000
2010-04-09 00:00:00,26470000,26530000
2010-04-10 00:00:00,26510000,26570000
2010-04-11 00:00:00,26510000,26570000
2010-04-12 00:00:00,26600000,26670000
2010-04-13 00:00:00,26350000,26420000
2010-04-14 00:00:00,26430000,26490000
2010-04-15 00:00:00,26410000,26470000
2010-04-16 00:00:00,26420000,26480000
2010-04-17 00:00:00,26270000,26330000
2010-04-18 00:00:00,26270000,26330000
2010-04-19 00:00:00,26150000,26210000
2010-04-20 00:00:00,26270000,26330000
2010-04-21 00:00:00,26300000,26360000
2010-04-22 00:00:00,26290000,26350000
2010-04-23 00:00:00,26250000,26310000
2010-04-24 00:00:00,26380000,26450000
2010-04-25 00:00:00,26380000,26450000
2010-04-26 00:00:00,26400000,26450000
2010-04-27 00:00:00,26350000,26410000
2010-04-28 00:00:00,26450000,26500000
2010-04-29 00:00:00,26500000,26560000
2010-04-30 00:00:00,26500000,26560000
2010-05-01 00:00:00,26500000,26560000
2010-05-02 00:00:00,26500000,26560000
2010-05-03 00:00:00,26500000,26560000
2010-05-04 00:00:00,26750000,26810000
2010-05-05 00:00:00,26640000,26690000
2010-05-06 00:00:00,26720000,26780000
2010-05-07 00:00:00,27230000,27300000
2010-05-08 00:00:00,27300000,27400000
2010-05-09 00:00:00,27300000,27400000
2010-05-10 00:00:00,27150000,27210000
2010-05-11 00:00:00,27470000,27540000
2010-05-12 00:00:00,28100000,28200000
2010-05-13 00:00:00,28070000,28170000
2010-05-14 00:00:00,28150000,28220000
2010-05-15 00:00:00,28050000,28150000
2010-05-16 00:00:00,28050000,28150000
2010-05-17 00:00:00,28110000,28170000
2010-05-18 00:00:00,27860000,27930000
2010-05-19 00:00:00,27700000,27770000
2010-05-20 00:00:00,27430000,27490000
2010-05-21 00:00:00,27350000,27430000
2010-05-22 00:00:00,27300000,27370000
2010-05-23 00:00:00,27300000,27370000
2010-05-24 00:00:00,27420000,27480000
2010-05-25 00:00:00,27530000,27600000
2010-05-26 00:00:00,27900000,27970000
2010-05-27 00:00:00,27760000,27820000
2010-05-28 00:00:00,27670000,27730000
2010-05-29 00:00:00,27680000,27740000
2010-05-30 00:00:00,27680000,27740000
2010-05-31 00:00:00,27660000,27720000
2010-06-01 00:00:00,27820000,27880000
2010-06-02 00:00:00,27820000,27880000
2010-06-03 00:00:00,27790000,27850000
2010-06-04 00:00:00,27630000,27690000
2010-06-05 00:00:00,27750000,27820000
2010-06-06 00:00:00,27750000,27820000
2010-06-07 00:00:00,27710000,27770000
2010-06-08 00:00:00,28250000,28350000
2010-06-09 00:00:00,28110000,28170000
2010-06-10 00:00:00,27900000,27970000
2010-06-11 00:00:00,27880000,27930000
2010-06-12 00:00:00,27950000,28010000
2010-06-13 00:00:00,27950000,28010000
