date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gpr_level,gpr_war,gpr_terrorism,gpr_economic,gpr_political,gpr_nuclear,gpr_trade,gpr_sanctions,gpr_pandemic,event_count,composite_risk,risk_regime_encoded,gpr_ma7,gpr_ma30,gpr_ma90,gpr_momentum,gpr_volatility,gpr_spike,pandemic_severity,pandemic_phase_encoded,is_pandemic,is_lockdown,is_post_pandemic,gold_return,gold_lag1,gold_lag7,gold_lag14,gold_lag30,gold_ma7,gold_ma14,gold_ma30,gold_ma60,gold_ema7,gold_ema14,gold_ema30,gold_rsi,gold_macd,gold_bb_pct,gold_volatility,gs_ratio,gs_ratio_ma7,gs_ratio_ma30,day_of_week,month,quarter,year,target
2010-02-15,1101.0,1092.85,1102.65,1092.0,15.54,15.51,15.63,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00695079568319,1093.4,1063.45,,,1075.9357142857143,,,,1084.701500868597,1084.5413416255465,1085.245637153838,,-0.669230682877469,,,70.84942084942085,70.14200520179399,,0.0,2.0,1.0,2010.0,1096.4
2010-02-16,1119.95,1099.6,1121.2,1097.85,16.15,15.5,16.22,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0172116257947321,1101.0,1065.45,,,1081.3,,,,1088.9558068429983,1087.3093356924944,1087.2009299410315,,0.2995375783968939,,,69.3467492260062,70.32735178487953,,1.0,2.0,1.0,2010.0,1106.1
2010-02-17,1115.2,1119.25,1127.25,1111.7,16.04,16.12,16.32,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.00424126077057,1119.95,1063.75,,,1089.0857142857142,,,,1096.9578300358094,1092.6139559188628,1091.0368539920992,,2.046656483333664,,,69.52618453865337,70.19398124460676,,2.0,2.0,1.0,2010.0,1116.5
2010-02-18,1123.9,1106.35,1124.05,1098.2,16.2,15.85,16.27,15.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0078012912482066,1115.2,1077.3,,,1096.435714285714,,,,1101.6293551831493,1096.1804634464809,1093.7256329209995,,3.0468986393952946,,,69.37654320987656,70.01556240244308,,3.0,2.0,1.0,2010.0,1117.35
2010-02-19,1118.85,1111.3,1126.95,1098.95,16.3,15.84,16.51,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044932823204912,1123.9,1072.85,1107.35,,1103.0928571428572,1094.5571428571427,,,1107.2980203689488,1100.4526037172184,1096.933325285241,55.67753001715272,4.260239053203804,,,68.64110429447852,69.96533209816747,,4.0,2.0,1.0,2010.0,1134.65
2010-02-22,1113.7,1124.9,1131.05,1109.7,16.23,16.34,16.56,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046029405192831,1118.85,1095.35,1115.2,,1109.6642857142856,1095.3785714285714,,,1110.2251316137033,1103.2302748923696,1099.1697248678568,53.8129973474801,4.82124824242419,,,68.61983980283426,69.71449247919347,,0.0,2.0,1.0,2010.0,1139.5
2010-02-23,1102.05,1113.8,1121.2,1099.35,15.86,16.21,16.42,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104606267396966,1113.7,1093.4,1109.65,,1112.2857142857142,1095.2714285714287,,,1111.1026436587777,1104.783598649359,1100.598783536887,49.49358541525996,4.873994907728729,,,69.48612862547289,69.5314574688043,,1.0,2.0,1.0,2010.0,1132.0
2010-02-24,1096.4,1103.4,1108.35,1089.85,15.94,15.82,16.01,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0051268091284423,1102.05,1101.0,1063.45,,1113.5214285714285,1094.7285714285713,,,1108.8223418365562,1104.3840381379323,1100.7368402356672,47.53566796368349,4.132780687046534,,,68.78293601003764,69.40656722096324,,2.0,2.0,1.0,2010.0,1132.05
2010-02-25,1106.1,1097.6,1109.15,1088.6,16.09,15.95,16.16,15.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0088471360817219,1096.4,1119.95,1065.45,,1112.8642857142856,1097.082142857143,,,1105.699148719997,1103.2318258486466,1100.3365251018324,64.49626044874618,3.158163784523367,,,68.74456183965195,69.11135510105136,,3.0,2.0,1.0,2010.0,1122.4
2010-02-26,1116.5,1105.0,1119.2,1104.4,16.48,16.05,16.52,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0094024048458549,1106.1,1115.2,1063.75,,1110.8857142857144,1099.9857142857145,,,1105.7997870673692,1103.6412489674826,1100.8541423968743,66.74907292954263,2.992991499412483,,,67.74878640776699,69.02532833157217,,4.0,2.0,1.0,2010.0,1120.1
